model,rag,sample_id,is_impossible,gold_question,gold_answer,gen_question,gen_answer,inf_time_sec,rougeL,bleu,chrf,bertscore_f1,cosine_sim,a_in_ctx_ratio,answer_exact_match,answer_rougeL
ViT5-base,non-RAG,0,False,Những chiến trận bị nhiễm urani nghèo đã được Tổ chức sức khoẻ thế giới tiếp cận bằng cách nào?,nhờ một phái đoàn năm 2001 tới Kosovo,question: Tổ chức sức khỏe thế giới đã có thể tiếp cận với những nguy cơ đối với sức khỏe của urani nghèo thông qua phái đoàn nào? answer: phái đoàn năm 2001 tới Kosovo,question: Tổ chức sức khỏe thế giới đã có thể tiếp cận với những nguy cơ đối với sức khỏe của urani nghèo thông qua phái đoàn nào? answer: phái đoàn năm 2001 tới Kosovo,3.2286,0.3678,0.0,37.8413,0.7768,0.7077,0.0,0.0,0.3235
ViT5-base,non-RAG,1,False,Vua Phổ kéo quân đánh triều Habsburg vào thời gian nào?,16 tháng 12 năm 1740,"question: Vào ngày 16 tháng 12 năm 1740, vua nước Phổ đã làm gì? answer: kéo 27 nghìn quân rời khỏi xứ Brandenburg đi đánh tỉnh Silesia của Vương triều Habsburg","question: Vào ngày 16 tháng 12 năm 1740, vua nước Phổ đã làm gì? answer: kéo 27 nghìn quân rời khỏi xứ Brandenburg đi đánh tỉnh Silesia của Vương triều Habsburg",2.9579,0.3226,0.0,33.9104,0.7224,0.7194,0.0,0.0,0.2692
ViT5-base,non-RAG,2,False,Ẩm thực Paris có sự hiện diện của những nước nào trên thế giới?,"Ý, Ấn Độ, Trung Quốc, Việt Nam, Thái Lan",question: Nhà hàng Jules Verne nằm ở đâu? answer: trên tầng hai của tháp Eiffel,question: Nhà hàng Jules Verne nằm ở đâu? answer: trên tầng hai của tháp Eiffel,1.4796,0.2791,0.0,15.2616,0.6882,0.4592,0.0,0.0,0.2
ViT5-base,non-RAG,3,False,Đại khủng hoảng vào đầu thập kỷ 1930 đã gây ảnh gì đến Canada?,"kinh tế bị suy thoái, khiến toàn quốc gặp cảnh gian khổ",question: Cuộc khủng hoảng tòng quân tại Québec diễn ra vào thời gian nào? answer: năm 1944,question: Cuộc khủng hoảng tòng quân tại Québec diễn ra vào thời gian nào? answer: năm 1944,1.6147,0.3404,0.0,23.3781,0.6957,0.7468,0.0,0.0,0.1702
ViT5-base,non-RAG,4,False,"Vật liệu nào đã đươc dùng thay thế cho các bức tường kiểu lưới mắt cáo, cột chống mái và các lớp nỉ?","đá, gạch, các dầm và những tấm ván",question: Những kiến trúc sư nào đã sử dụng các cấu trúc với 6 và 12 góc với các mái kiểu kim tự tháp? answer: N. Chultem,"question: Những kiến trúc sư nào đã sử dụng các cấu trúc với 6 và 12 góc với các mái kiểu kim tự tháp? answer: Các bức tường kiểu lưới mắt cáo, các cột chống mái và các lớp nỉ",2.6999,0.3797,0.0,18.7793,0.7261,0.6373,0.0,0.0,0.225
ViT5-base,non-RAG,5,False,Viện Phục hồi Roosevelt Warm Springs được Roosevelt thành lập khi nào?,Trong năm 1926,"question: Vì sao Roosevelt bị nhiễm bệnh bại liệt? answer: các bác sĩ của ông tin là bệnh bại liệt, dẫn đến tình trạng bị bại liệt hoàn toàn và vĩnh viễn từ thắt lưng trở xuống",question: Vì sao Roosevelt bị nhiễm bệnh bại liệt? answer: do các bác sĩ của ông tin là bệnh bại liệt,2.2576,0.1039,0.0,19.3322,0.6404,0.3608,0.0,0.0,0.0571
ViT5-base,non-RAG,6,False,Hai thành phố nào được gọi là thành phố của tình yêu?,"Venezia, Paris","question: Answer: là tính từ của Paris, cũng là danh từ để chỉ những người dân của thành phố này","question: Ý nghĩa của từ ""parisien"" trong tiếng Pháp là gì? answer: là tính từ của Paris, cũng là danh từ để chỉ những người dân của thành phố này",2.2557,0.3404,0.0,28.0378,0.6738,0.4773,0.0,0.0,0.0465
ViT5-base,non-RAG,7,False,Loài người xuất hiện sớm nhất ở nơi nào trong lãnh thổ của Canada?,bắc bộ khu vực Yukon,question: Các di chỉ khảo cổ học người Da đỏ cổ đại tại đâu? answer: bình nguyên Old Crow và các động Bluefish,question: Các di chỉ khảo cổ học người Da đỏ cổ đại tại đâu? answer: bình nguyên Old Crow và các động Bluefish,2.3766,0.2264,0.0,14.5695,0.6666,0.4607,0.0,0.0,0.2162
ViT5-base,non-RAG,8,False,Franklin Delano Roosevelt có vai trò gì trong tình hình chiến sự thế giới trong giữa thế kỷ XX?,khuôn mặt trung tâm,question: Ai là người lãnh đạo Hoa Kỳ trong Chiến tranh thế giới thứ hai? answer: Herbert Hoover,question: Franklin Delano Roosevelt là ai? answer: một khuôn mặt trung tâm của các sự kiện thế giới trong giữa thế kỷ XX,1.8597,0.3043,0.0,23.5732,0.7313,0.6698,0.0,0.0,0.359
ViT5-base,non-RAG,9,False,Người dân vẫn chưa biết những gì về Mitterrand?,bệnh ung thư tuyến tiền liệt của ông được chẩn đoán năm 1981 và các chi tiết quá khứ của ông thời Chế độ Vichy,question: Ai là người chủ mưu chính của vụ nghe trộm? answer: Mitterrand,question: Ai là người chủ mưu chính của vụ nghe trộm? answer: Mitterrand,1.4794,0.3636,0.0,28.8227,0.6701,0.6086,0.0,0.0,0.1852
