topic_id,method,qa_index,question,answer,quality_score
0,Chunking_Only,1,question: Jean-Philippe Rameau đã làm gì trong các vở ba lê của Lully? answer: làm nổi bật vai trò của dàn nhạc trong các vở opera-ba lê,question: Jean-Philippe Rameau đã làm gì trong các vở ba lê của Lully? answer: làm nổi bật vai trò của dàn nhạc trong các vở opera-ba lê,0.7499
0,Chunking_Only,2,question: Carmagnole trở thành ca khúc biểu tượng cho những người cách mạng vào năm nào? answer: năm 1792,question: Carmagnole trở thành ca khúc biểu tượng cho những người cách mạng vào năm nào? answer: năm 1792,0.6599
0,RAG_Chunking,1,"question: Những loại hình nghệ thuật sân khấu nào phát triển từ thời Lê sơ? answer: hát chèo, hát tuồng, hát quan họ, hát ví, hát giặm, hát chèo thuyền, hát ả đào, hát xẩm","question: Những loại hình nghệ thuật sân khấu nào phát triển từ thời Lê sơ? answer: hát chèo, hát tuồng, hát quan họ, hát ví, hát giặm, hát chèo thuyền, hát ả đào, hát xẩm",0.7524
0,RAG_Chunking,2,"question: Nền văn minh thời Phục Hưng là nền văn minh như thế nào? answer: tinh thần nhân văn và tiến bộ trong tư tưởng và văn học, là sự sáng tạo và phát minh trong khoa học với những ý tưởng đi trước thời đại, là chủ nghĩa hiện thực trong nghệ thuật","question: Nền văn minh thời Phục Hưng là nền văn minh như thế nào? answer: tinh thần nhân văn và tiến bộ trong tư tưởng và văn học, là sự sáng tạo và phát minh trong khoa học với những ý tưởng đi trước thời đại, là chủ nghĩa hiện thực trong nghệ thuật",0.7174
0,RAG_Chunking,3,question: Trường phái âm nhạc đa âm điệu Notre-Dame ra đời vào thời gian nào? answer: cuối thế kỷ 12,question: Trường phái âm nhạc đa âm điệu Notre-Dame ra đời vào thời gian nào? answer: cuối thế kỷ 12,0.6888
0,RAG_Chunking,4,question: Jean-Philippe Rameau đã làm gì vào thế kỷ 18? answer: làm nổi bật vai trò của dàn nhạc trong các vở opera-ba lê,question: Jean-Philippe Rameau đã làm gì vào thế kỷ 18? answer: làm nổi bật vai trò của dàn nhạc trong các vở opera-ba lê,0.6528
0,RAG_Chunking,5,question: Carmagnole trở thành ca khúc biểu tượng cho những người cách mạng vào năm nào? answer: năm 1792,question: Carmagnole trở thành ca khúc biểu tượng cho những người cách mạng vào năm nào? answer: năm 1792,0.6247
0,RAG_Chunking,6,"question: Âm nhạc tiến đến Chủ nghĩa lãng mạn với những nhạc sĩ nào? answer: Frédéric Chopin, Hector Berlioz hay Charles Gounod","question: Âm nhạc tiến đến Chủ nghĩa lãng mạn với những nhạc sĩ nào? answer: Frédéric Chopin, Hector Berlioz hay Charles Gounod",0.8671
1,Chunking_Only,1,"question: Lực lượng trên bộ gồm những lực lượng nào? answer: một trung đoàn của lực lượng hải quân lục chiến, lực lượng hải quân gồm hai tàu tuần tra lớp P400, một tàu đổ bộ lớp BATRAL, và một tàu tuần tra của Hiến binh Hàng hải","question: Lực lượng trên bộ gồm những lực lượng nào? answer: một trung đoàn của lực lượng hải quân lục chiến, lực lượng hải quân gồm hai tàu tuần tra lớp P400, một tàu đổ bộ lớp BATRAL, và một tàu tuần tra của Hiến binh Hàng hải",0.6467
1,Chunking_Only,2,"question: Có bao nhiêu máy bay chuyên chở Casa, bốn máy bay trực thăng Puma và một máy bay trực thăng Fennec? answer: Có bao nhiêu máy bay chuyên chở Casa, bốn máy bay trực thăng Puma và một máy bay trực thăng Fennec","question: Có bao nhiêu máy bay chuyên chở Casa, bốn máy bay trực thăng Puma và một máy bay trực thăng Fennec? answer: 760 nhân viên hiến binh",0.7646
